id,label,type,Codigo,Provincia,Canton,Parroquia,Distrito,Area,Jefatura,Unidad_operativa,Tipo_atencion,Zona_administrativa,Poblacion_2009,Tipo_via,Direccion_unidad_operativa,Telefono,Tipologia,Nivel,Atencion,Dotacion_camas,Geolatlon,Lat,Lon,Easting,Northing,Cobertura,No_licencia,U_o_tambien_conocida_como,Licencia_cond,Poblacion_2010,Licencia,Distancia_mint_Jefatura,Distancia_km_jefatura,Direccion_alternativa/0,Referencia_unidad_operativa
545-010502252,545-010502252,Item,10502252,COTOPAXI,LA MANA,PUCAYACU,05D02,5,La Maná,Pucayacu,,3,2858,1o. y 2o. ORDEN,,,CSR,,,,"-0.7181935,-79.1209467",-0.7181935,-79.1209467,709113,9920575,,,,,2907,,42,75,CALLE PRINCIPAL,
546-010502450,546-010502450,Item,10502450,COTOPAXI,LA MANA,LA MANA,05D02,5,La Maná,Choasilli,,3,1169,1o. 2o. Y 3er. ORDEN,,,PS,,,,,,,,,,,,,1189,,51,120,,
547-010503010,547-010503010,Item,10503010,COTOPAXI,PANGUA,EL CORAZON,05D03,6,El Corazón,El Corazón,,3,7374,,,,HB,,,15,"-1.1135457,-79.0831935",-1.1135457,-79.0831935,713291,9874427,,,,,7501,,,,AV. GENERAL ENRIQUEZ GALLO Y PRIMERO DE JUNIO,
548-010503250,548-010503250,Item,10503250,COTOPAXI,PANGUA,MORASPUNGO,05D03,6,El Corazón,Moraspungo,,3,9427,2o. Y 3er. ORDEN,,,CSR,,,,"-1.17583600,-79.2276012",-1.175836,-79.2276012,697214,9869972,,,,,9590,,18,60,AV. PRINCIPAL,
549-010503251,549-010503251,Item,10503251,COTOPAXI,PANGUA,MORASPUNGO,05D03,6,El Corazón,Piedadcita,,3,3609,2o. Y 3er. ORDEN,,,CSR,,,,"-1.02831460,-79.3026153",-1.0283146,-79.3026153,688874,9886290,,,,,3671,,23,90,CALLE PRINCIPAL,
550-010503252,550-010503252,Item,10503252,COTOPAXI,PANGUA,RAMON CAMPAÑA,05D03,6,El Corazón,Ramón Campaña,,3,2175,2do. ORDEN,,,CSR,,,,"-1.11236700,-79.0888862",-1.112367,-79.0888862,712659,9876981,,,,,2213,,22,105,CALLE PRINCIPAL,
551-010503450,551-010503450,Item,10503450,COTOPAXI,PANGUA,PINLLOPATA,05D03,6,El Corazón,Pinllopata,,3,1081,3er. ORDEN,,,PS,,,,"-1.14431580,-79.0264849",-1.1443158,-79.0264849,719603,9873443,,,,,1100,,15,45,CALLE PRINCIPAL,
552-010503451,552-010503451,Item,10503451,COTOPAXI,PANGUA,MORASPUNGO,05D03,6,Por determinar,Isabel María,,3,Desconocido,2do. ORDEN,,,PS,,,,"-1.18631870,-79.2733613",-1.1863187,-79.2733613,692120,9868816,,,,,,,,,S/N,
553-010503452,553-010503452,Item,10503452,COTOPAXI,PANGUA,EL CORAZON,05D03,6,Por determinar,La Plancha,,3,Desconocido,3er. ORDEN,,,PS,,,,"-1.16187740,-79.0557045",-1.1618774,-79.0557045,716349,9871503,,,,,,,,,S/N,
554-010503453,554-010503453,Item,10503453,COTOPAXI,PANGUA,EL CORAZON,05D03,6,Por determinar,San Francisco de Pangua,,3,Desconocido,3er. ORDEN,,,PS,,,,"-1.11050120,-79.0161323",-1.1105012,-79.0161323,720758,9877182,,,,,,,,150,S/N,
555-010504010,555-010504010,Item,10504010,COTOPAXI,PUJILI,PUJILI,,2,"Hospital Básico ""Rafael Ruiz""",Pujilí,,3,40549,,,,HB,,,15,"-0.9538665,-78.6942377",-0.9538665,-78.6942377,756608,9894483,,,RAFAEL RUIZ,,26841,,,,AV. VELASZO IBARRA Y JUAN SALINAS,
556-010504011,556-010504011,Item,10504011,COTOPAXI,PUJILI,ZUMBAHUA,05D04,2,Por determinar,Zumbahua *,,3,Desconocido,,,,HB,,,32,"-0.9583461,-78.8970504",-0.9583461,-78.8970504,734026,9894002,,,HOSPITAL CLAUDIO BENATTI,,14406,,,,Calle A s/n,
557-010504250,557-010504250,Item,10504250,COTOPAXI,PUJILI,PUJILI,05D04,2,"Hospital Básico ""Rafael Ruiz""",Yacumbamba,,3,4186,2do. ORDEN,,,CSU,,,,"-1.04173180,-78.7275679",-1.0417318,-78.7275679,752890,9884766,,,,,4258,,40,120,CENTRO DE LA COMUNIDAD,
558-010504251,558-010504251,Item,10504251,COTOPAXI,PUJILI,ANGAMARCA,05D04,2,"Hospital Básico ""Rafael Ruiz""",Angamarca,,3,583,2do. ORDEN,,,CSR,,,,"-1.11990030,-78.9317506",-1.1199003,-78.9317506,730151,9876136,,,,,5931,,105,210,CENTRO DE LA COMUNIDAD,
559-010504252,559-010504252,Item,10504252,COTOPAXI,PUJILI,GUANGAJE,05D04,2,"Hospital Básico ""Rafael Ruiz""",Guangaje,,3,8696,2do. ORDEN,,,CSR,,,,"-0.8629701,-78.8474468",-0.8629701,-78.8474468,739555,9904548,,,,,8846,,60,80,CENTRO DE LA COMUNIDAD,
560-010504253,560-010504253,Item,10504253,COTOPAXI,PUJILI,LA VICTORIA,05D04,2,"Hospital Básico ""Rafael Ruiz""",La Victoria,,3,3341,2do. ORDEN,,,CSR,,,,"-0.9163525,-78.6967857",-0.9163525,-78.6967857,756327,9898633,,,,,3398,,6,15,CENTRO DE LA COMUNIDAD,
561-010504256,561-010504256,Item,10504256,COTOPAXI,PUJILI,PUJILI,05D04,2,Por determinar,San Gerardo,,3,Desconocido,2do. ORDEN,,,CSR,,,,"-1.02567890,-78.6807887",-1.0256789,-78.6807887,758100,9886538,,,,,3463,,10,25,CENTRO DE LA COMUNIDAD,
562-010504254,562-010504254,Item,10504254,COTOPAXI,PUJILI,PILALO,05D04,5,La Maná,Pilalo,,3,2221,1o. y 2o. ORDEN,,,CSR,,,,"-0.9469220,-78.9944418",-0.946922,-78.9944418,723184,9895272,,,,,2259,,65,90,CALLE PRINCIPAL,
563-010504255,563-010504255,Item,10504255,COTOPAXI,PUJILI,EL TINGO,05D04,5,La Maná,El Tingo (La Esperanza),,3,1011,1o. y 2o. ORDEN,,,CSR,,,,"-0.9173998,-79.0576955",-0.9173998,-79.0576955,716144,9898541,,,,,1029,,36,60,S/N,
564-010504450,564-010504450,Item,10504450,COTOPAXI,PUJILI,PUJILI,05D04,2,"Hospital Básico ""Rafael Ruiz""",San José de Alpamalag,,3,3405,3er. ORDEN,,,PS,,,,"-1.05253800,-78.6590895",-1.052538,-78.6590895,760514,9883565,,,,,,,8,20,CENTRO DE LA COMUNIDAD,
565-010504451,565-010504451,Item,10504451,COTOPAXI,PUJILI,GUANGAJE,05D04,2,Por determinar,Casa Quemada,,3,Desconocido,3er. ORDEN,,,PS,,,,"-0.9089462,-78.8822919",-0.9089462,-78.8822919,742283,9899461,,,,,,,20,,CENTRO DE LA COMUNIDAD,
566-010504452,566-010504452,Item,10504452,COTOPAXI,PUJILI,GUANGAJE,05D04,2,Por determinar,Sumirumi,,3,Desconocido,3er. ORDEN,,,PS,,,,"-0.9035228,-78.8548243",-0.9035228,-78.8548243,738731,9900063,,,SUMIRRUMI,,,,13,,CENTRO DE LA COMUNIDAD,
567-010507451,567-010507451,Item,10507451,COTOPAXI,PUJILI,CHUGCHILAN,05D04,5,La Maná,Sarahuasi Averg,,3,1896,1o. 2o. Y 3er. ORDEN,,,PS,,,,"-0.9324822,-79.1584676",-0.9324822,-79.1584676,704925,9896879,,,,,1929,,40,165,CENTRO DE LA COMUNIDAD,
568-010507251,568-010507251,Item,10507251,COTOPAXI,SIGCHOS,SIGCHOS,05D05,4,Saquisilí,Sigchos,,3,9456,1o. y 2o. ORDEN,,,CSU,,,,"-0.7025228,-78.8891115",-0.7025228,-78.8891115,734925,9922297,,,,,9619,,30,50,LOS SIGCHILAS,
569-010507250,569-010507250,Item,10507250,COTOPAXI,SIGCHOS,LAS PAMPAS,05D05,1,Centro de Salud No. 1,Las Pampas,,3,2446,3er. ORDEN,,,CSR,,,,"-0.4250355,-78.9665565",-0.4250355,-78.9665565,726313,9952991,,,,,2488,,130,300,CENTRO DE LA COMUNIDAD,
570-010507252,570-010507252,Item,10507252,COTOPAXI,SIGCHOS,CHUGCHILLAN,05D05,4,Saquisilí,Chugchillan,,3,7568,2do. ORDEN,,,CSR,,,,"-0.7892969,-78.9195984",-0.7892969,-78.9195984,731526,9912701,,,,,7698,,36,165,CENTRO DE LA COMUNIDAD,
571-010507253,571-010507253,Item,10507253,COTOPAXI,SIGCHOS,ISINLIVI,05D05,4,Saquisilí,Insilivi,,3,3941,2o. Y 3er. ORDEN,,,CSR,,,,"-0.7548533,-78.8716813",-0.7548533,-78.8716813,736863,9916508,,,,,4009,,40,165,CENTRO DE LA COMUNIDAD,
572-010507254,572-010507254,Item,10507254,COTOPAXI,SIGCHOS,PALO QUEMADO,05D05,1,Por determinar,Palo Quemado,,3,Desconocido,3er. ORDEN,,,CSR,,,,"-0.3705674,-78.9210535",-0.3705674,-78.9210535,731381,9959014,,,,,1284,,125,280,CENTRO DE LA COMUNIDAD,
573-010506050,573-010506050,Item,10506050,COTOPAXI,SAQUISILI,SAQUISILI,05D05,4,Saquisilí,Saquisilí 24 Hd,,3,11503,,,,CS,,,,"-0.8393321,-78.6662729",-0.8393321,-78.6662729,759730,9907151,,,CENTRO DE SALUD SAQUISILI,,11702,,,,24 DE MAYO E IMBABURA,
574-010506250,574-010506250,Item,10506250,COTOPAXI,SAQUISILI,CANCHAHUA,05D05,4,Saquisilí,Canchahua,,3,5641,1er. ORDEN,,,CSR,,,,"-0.8096649,-78.6841159",-0.8096649,-78.6841159,757745,9910434,,,CANCHAGUA,,5738,,2,5,CENTRO DE LA COMUNIDAD Armando Soto,
575-0105062,575-0105062,Item,105062,COTOPAXI,SAQUISILI,CHANTILIN,05D05,4,Por determinar,Chantilin,,3,Desconocido,2o. Y 3er. ORDEN,,,PS,,,,,,,,,,,,,997,,15,40,,
576-010506252,576-010506252,Item,10506252,COTOPAXI,SAQUISILI,COCHAPAMBA,05D05,4,Por determinar,Cochapamba,,3,Desconocido,2do. ORDEN,,,CSR,,,,"-0.8384339,-78.7528632",-0.8384339,-78.7528632,750088,9907256,,,,,5167,,20,80,CENTRO DE LA COMUNIDAD,
577-010506450,577-010506450,Item,10506450,COTOPAXI,SAQUISILI,SAQUISILI,05D05,4,Saquisilí,Salacalle,,3,1579,2do. ORDEN,,,PS,,,,"-0.8299177,-78.6899863",-0.8299177,-78.6899863,757090,9908194,,,,,1606,,12,30,CENTRO DE LA COMUNIDAD,
578-010505010,578-010505010,Item,10505010,COTOPAXI,SALCEDO,SAN MIGUEL,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Salcedo,,3,20286,,,,HB,,,15,"-1.0387281,-78.5910459",-1.0387281,-78.5910459,768092,9885087,,,YEROVI MACKUART,,20636,,,,PANAMERICANA NORTE Y ELOY YEROVI,
579-010505250,579-010505250,Item,10505250,COTOPAXI,SALCEDO,SAN MIGUEL,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Papahurco,,3,6555,1er. ORDEN,,,CSU,,,,"-1.05475030,-78.5170383",-1.0547503,-78.5170383,776332,9883308,,,PAPAHURCO,,6668,,9,40,CENTRO DE LA COMUNIDAD,
580-010505251,580-010505251,Item,10505251,COTOPAXI,SALCEDO,SAN MIGUEL,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Patain Ver,,3,199,2o. Y 3er. ORDEN,,,CSR,,,,"-1.0827318,-78.5806486",-1.0827318,-78.5806486,769246,9880218,,,PATAIN,,202,,6,30,CENTRO DE LA COMUNIDAD,
581-010505252,581-010505252,Item,10505252,COTOPAXI,SALCEDO,SAN MIGUEL,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Yanayacu,,3,2301,1o. y 2o. ORDEN,,,CSU,,,,"-1.06295650,-78.5722317",-1.0629565,-78.5722317,770185,9882405,,,,,2341,,6,20,CENTRO DE LA COMUNIDAD,
582-010505253,582-010505253,Item,10505253,COTOPAXI,SALCEDO,ANTONIO JOSE  HOLGUIN,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Antonio José  Holguín,,3,2859,2do. ORDEN,,,CSR,,,,"-1.09889510,-78.6045684",-1.0988951,-78.6045684,766581,9878432,,,,,2908,,9,40,CENTRO DE LA COMUNIDAD,
583-010505254,583-010505254,Item,10505254,COTOPAXI,SALCEDO,CUSUBAMBA,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Cusubamba,,3,6366,1o. y 2o. ORDEN,,,CSR,,,,"-1.06975390,-78.7004964",-1.0697539,-78.7004964,755902,9881664,,,,,6476,,30,110,CENTRO DE LA COMUNIDAD,
584-010505255,584-010505255,Item,10505255,COTOPAXI,SALCEDO,MULALILLO,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Mulalillo,,3,689,1er. ORDEN,,,CSR,,,,"-1.09394400,-78.6302568",-1.093944,-78.6302568,763721,9878982,,,,,7009,,11,50,CENTRO DE LA COMUNIDAD,
585-010505256,585-010505256,Item,10505256,COTOPAXI,SALCEDO,MULLIQUINDIL,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Mulliquindil (Santa Ana),,3,7809,2o. Y 3er. ORDEN,,,CSR,,,,"-1.03508170,-78.5629499",-1.0350817,-78.5629499,771221,9885488,,,,,7944,,5,20,CENTRO DE LA COMUNIDAD,
586-010505257,586-010505257,Item,10505257,COTOPAXI,SALCEDO,PANZALEO,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Panzaleo,,3,3097,1er. ORDEN,,,CSR,,,,"-1.06719920,-78.5994117",-1.0671992,-78.5994117,767158,9881938,,,,,3150,,4,15,CENTRO DE LA COMUNIDAD,
587-010505450,587-010505450,Item,10505450,COTOPAXI,SALCEDO,SAN MIGUEL,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Anchilivi,,3,2632,2o. Y 3er. ORDEN,,,PS,,,,"-1.05177250,-78.5689627",-1.0517725,-78.5689627,770550,9883642,,,,,2677,,5,20,CENTRO DE LA COMUNIDAD,
588-010505451,588-010505451,Item,10505451,COTOPAXI,SALCEDO,CUSUBAMBA,05D06,3,"Hospital Básico ""Yerovi Mackuart Salcedo""",Cobos,,3,2089,2do. ORDEN,,,PS,,,,"-1.07157810,-78.6623891",-1.0715781,-78.6623891,760145,9881459,,,,,2125,,16,75,CENTRO DE LA COMUNIDAD,
589-010505452,589-010505452,Item,10505452,COTOPAXI,SALCEDO,SAN MIGUEL,05D06,3,Por determinar,San Marcos,,3,Desconocido,1er. ORDEN,,,PS,,,,"-1.05528780,-78.5792692",-1.0552878,-78.5792692,769402,9883254,,,,,,,3,10,CENTRO DE LA COMUNIDAD,
590-010601010,590-010601010,Item,10601010,CHIMBORAZO,RIOBAMBA,,,0,Por determinar,Docente de Riobamba,AGUDO,3,Desconocido,,,,HG,,,220,"-1.6819056,-78.6431365",-1.6819056,-78.6431365,762222,9813940,,,HOSPITAL GENERAL DOCENTE DE RIOBAMBA,,,,,,AVENIDA FELIX PROAÑO Y CHILE,
591-010601011,591-010601011,Item,10601011,CHIMBORAZO,RIOBAMBA,,1,0,Por determinar,Alfonso Villagómez,AGUDO - PEDIATRICO,3,Desconocido,,,,HE,,,84,"-1.6704334,-78.6498425",-1.6704334,-78.6498425,761477,9815210,,,HOSPITAL ALFONSO VILLAGOMEZ,,,,,,"ESPAÑA, ENTRE VELOZ Y OROZCO",
592-010601012,592-010601012,Item,10601012,CHIMBORAZO,RIOBAMBA,,0,0,Por determinar,Hogar de Ancianos,HE. GERIATRICO,3,Desconocido,,,,HE,,,100,"-1.6794235,-78.6537394",-1.6794235,-78.6537394,761042,9814216,,,HOGAR DE ANCIANOS,,,,,,"EUGENIO ESPERO, A LADO DE LA DIRECCION DE EDUCACION",
593-010601500,593-010601500,Item,10601500,CHIMBORAZO,RIOBAMBA,,,0,Por determinar,Unidad Móvil,UNIDAD MOVIL,3,Desconocido,,,,UM,,,,,,,,,,,,,,,,,,
594-010601501,594-010601501,Item,10601501,CHIMBORAZO,RIOBAMBA,,,0,Por determinar,Unidad Móvil,UNIDAD MOVIL QUIRURGICA,3,Desconocido,,,,UQ,,,,,,,,,,,,,,,,,,
595-010601051,595-010601051,Item,10601051,CHIMBORAZO,RIOBAMBA,VELOZ,06D01,6,Centro de Salud No. 1,Centro de Salud No. 1,,3,51988,,,,CS,,,,"-1.6790334,-78.6525541",-1.6790334,-78.6525541,761174,9814259,,,CENTRO DE SALUD N 1,,52680,,,,AVENIDA SIM-N BOLIVAR S/N Y AVENIDA ALFONSO VILLAGOMEZ,
596-010601050,596-010601050,Item,10601050,CHIMBORAZO,RIOBAMBA,VELOZ,06D01,1,Centro de Salud No. 3,Centro de Salud No. 3,,3,21008,,,,CS,,,,"-1.6817562,-78.6318541",-1.6817562,-78.6318541,763478,9813955,,,CENTRO DE SALUD N 3,,21288,,,,LA HABANA Y CIENFUEGOS,
597-010601250,597-010601250,Item,10601250,CHIMBORAZO,RIOBAMBA,LIZARZABURU,06D01,1,Centro de Salud No. 3,Santa Rosa,,3,17966,1er. ORDEN,,,CSU,,,,"-1.6719041,-78.6550239",-1.6719041,-78.6550239,760900,9815048,,,,,18205,,1.2,5,CARABOBO Y CHILE,
598-010601251,598-010601251,Item,10601251,CHIMBORAZO,RIOBAMBA,MALDONADO,06D01,1,Centro de Salud No. 3,Bellavista,,3,2083,1er. ORDEN,,,CSU,,,,"-1.6743875,-78.6380342",-1.6743875,-78.6380342,762791,9814771,,,,,2111,,2,10,PURUHA Y BUENOS AIRES,
599-010601252,599-010601252,Item,10601252,CHIMBORAZO,RIOBAMBA,VELASCO,06D01,1,Centro de Salud No. 3,San Miguel de Tapi,,3,11478,1er. ORDEN,,,CSU,,,,"-1.6445343,-78.6721955",-1.6445343,-78.6721955,758992,9818078,,,,,11631,,2.5,15,SAN MIGUEL DE TAPI,
600-010601253,600-010601253,Item,10601253,CHIMBORAZO,RIOBAMBA,VELASCO,06D01,1,Centro de Salud No. 3,La Panadería,,3,17602,1er. ORDEN,,,CSU,,,,"-1.6687526,-78.6502847",-1.6687526,-78.6502847,761428,9815396,,,,,17837,,1.5,5,ARGENTINOS Y PICHINCHA,
601-010601254,601-010601254,Item,10601254,CHIMBORAZO,RIOBAMBA,VELASCO,06D01,1,Centro de Salud No. 3,Loma de Quito,,3,17779,1er. ORDEN,,,CSU,,,,"-1.6662154,-78.6527490",-1.6662154,-78.652749,761154,9815677,,,,,18016,,1.2,5,ARGENTINOS Y JUAN LAVALLE,
602-010601255,602-010601255,Item,10601255,CHIMBORAZO,RIOBAMBA,YARUQUIES,06D01,1,Centro de Salud No. 3,Yaruquíes,,3,12741,1er. ORDEN,,,CSU,,,,"-1.6897951,-78.6787809",-1.6897951,-78.6787809,758253,9813072,,,,,12910,,1.5,10,"BARRIO SAN FRANCISCO, A LADO DEL CENTRO INFANTIL",
603-010601256,603-010601256,Item,10601256,CHIMBORAZO,RIOBAMBA,VELASCO,06D01,1,Centro de Salud No. 3,La Georgina,,3,,1er. ORDEN,,,CSU,,,,"-1.6588488,-78.6608783",-1.6588488,-78.6608783,760250,9816493,,,,,,,2,8,ARGENTINOS Y AVENIDA LA PRENSA,
604-010601258,604-010601258,Item,10601258,CHIMBORAZO,RIOBAMBA,CACHA,06D01,1,Centro de Salud No. 3,Cacha Machángara,,3,904,1er. ORDEN,,,CSR,,,,"-1.7056968,-78.7018492",-1.7056968,-78.7018492,755683,9811316,,,,,916,,2.5,25,CACHA MACHANGARA,
605-010601259,605-010601259,Item,10601259,CHIMBORAZO,RIOBAMBA,CALPI,06D01,1,Centro de Salud No. 3,Calpi,,3,6958,1er. ORDEN,,,CSR,,,,"-1.6469642,-78.7408872",-1.6469642,-78.7408872,751345,9817818,,,,,7051,,8,20,FRENTE A LA UNIDAD DE POLICIA COMUNITARIA DE CALPI,
606-010601260,606-010601260,Item,10601260,CHIMBORAZO,RIOBAMBA,FLORES,06D01,1,Centro de Salud No. 3,Flores,,3,6257,1er. ORDEN,,,CSR,,,,"-1.8165451,-78.6466427",-1.8165451,-78.6466427,761813,9799046,,,,,5271,,18,30,FLORES A LADO DEL CENTRO INFANTIL,
607-010601261,607-010601261,Item,10601261,CHIMBORAZO,RIOBAMBA,LICTO,06D01,1,Centro de Salud No. 3,Licto,,3,7196,1er. ORDEN,,,CSR,,,,"-1.8040957,-78.6039516",-1.8040957,-78.6039516,766567,9800417,,,,,7292,,12,20,LICTO CALLE SUCRE S/N Y G. SUAREZ,
608-010601262,608-010601262,Item,10601262,CHIMBORAZO,RIOBAMBA,PUNGALA,06D01,1,Centro de Salud No. 3,Pungala,,3,6891,1er. ORDEN,,,CSR,,,,"-1.8174070,-78.5944926",-1.817407,-78.5944926,767618,9798943,,,,,6524,,15,30,"PUNGALA, CALLE ORIENTE Y VIA PRINCIPAL",
609-010601263,609-010601263,Item,10601263,CHIMBORAZO,RIOBAMBA,PUNIN,06D01,1,Centro de Salud No. 3,Punín,,3,3681,1er. ORDEN,,,CSR,,,,"-1.7652667,-78.6561317",-1.7652667,-78.6561317,760764,9804720,,,,,3286,,14,20,"PUNIN, A UNA CUADRA DEL PARQUE CENTRAL",
610-010601264,610-010601264,Item,10601264,CHIMBORAZO,RIOBAMBA,QUIMIAG,06D01,1,Centro de Salud No. 3,Quimiag,,3,6171,1er. ORDEN,,,CSR,,,,"-1.6591326,-78.5670451",-1.6591326,-78.5670451,770696,9816449,,,,,6253,,12,25,JUNTO AL JARDIN JUAN SAMANIEGO,
611-010601265,611-010601265,Item,10601265,CHIMBORAZO,RIOBAMBA,SAN JUAN,06D01,1,Centro de Salud No. 3,San Juan,,3,774,1er. ORDEN,,,CSR,,,,"-1.6271819,-78.7873809",-1.6271819,-78.7873809,746172,9820012,,,,,7843,,7,25,"CARRETERA VIA RIOBAMBA - GUARANDA, JUNTO A CONSTRUCCI-N DE HOTEL",
612-010601266,612-010601266,Item,10601266,CHIMBORAZO,RIOBAMBA,SAN LUIS,06D01,1,Centro de Salud No. 3,San Luis,,3,942,1er. ORDEN,,,CSR,,,,"-1.7103617,-78.6428685",-1.7103617,-78.6428685,762248,9810792,,,,,9546,,4,10,"SAN LUIS, JUNTO A HERMANDAD DE LA AGONIA",
613-010601267,613-010601267,Item,10601267,CHIMBORAZO,RIOBAMBA,LICAN,06D01,1,Centro de Salud No. 3,Lican,,3,,,,,CSR,,,,"-1.6531496,-78.7034198",-1.6531496,-78.7034198,755515,9817129,,,,,,,14,,AVENIDA PRINCIPAL DE LICAN,
614-010601450,614-010601450,Item,10601450,CHIMBORAZO,RIOBAMBA,VELASCO,06D01,1,Centro de Salud No. 3,Innfa Averiguar,,3,,1er. ORDEN,,,PS,,,,,,,,,,,,,,,,,,
615-010601465,615-010601465,Item,10601465,CHIMBORAZO,RIOBAMBA,VELASCO,06D01,1,Por determinar,San Antonio del Aeropuerto,,3,Desconocido,1er. ORDEN,,,PS,,,,"-1.6525259,-78.6497828",-1.6525259,-78.6497828,761486,9817191,,,,,,,3,12,"MAGNOLIAS, JUNTO A LA IGLESIA ATRAS DEL AEROPUERTO.",
616-010601451,616-010601451,Item,10601451,CHIMBORAZO,RIOBAMBA,CACHA,06D01,1,Centro de Salud No. 3,Amula Casaloma,,3,654,1o. y 2o. ORDEN,,,PS,,,,"-1.7044815,-78.7211831",-1.7044815,-78.7211831,753531,9811453,,,,,663,,20,40,"AMULAG CASA LOMA, FRENTE A LA ESCUELA",
617-010601452,617-010601452,Item,10601452,CHIMBORAZO,RIOBAMBA,CACHA,06D01,1,Centro de Salud No. 3,Pucara Quinche,,3,651,2do. ORDEN,,,PS,,,,"-1.7186227,-78.7008456",-1.7186227,-78.7008456,755793,9809886,,,,,660,,20,40,"PUCARA QUINCHE, CALLE PRINCIPAL",
618-010601453,618-010601453,Item,10601453,CHIMBORAZO,RIOBAMBA,CACHA,06D01,1,Centro de Salud No. 3,Cacha Guagshi,,3,698,2do. ORDEN,,,PS,,,,"-1.7124982,-78.6896506",-1.7124982,-78.6896506,757040,9810562,,,,,708,,20,40,"CACHA HUAGSHI, JUNTO A LA ESCUELA MARIA DUCHICELA.",
619-010601454,619-010601454,Item,10601454,CHIMBORAZO,RIOBAMBA,CACHA,06D01,1,Centro de Salud No. 3,San Miguel de Quera,,3,505,2do. ORDEN,,,PS,,,,"-1.7201877,-78.7242819",-1.7201877,-78.7242819,753184,9809716,,,,,512,,20,40,"SHYRY CACHA SAN MIGUEL DE QUERA, JUNTO CDI-ATRAS DE LA IGLESIA",
620-010601455,620-010601455,Item,10601455,CHIMBORAZO,RIOBAMBA,CACHA,06D01,1,Centro de Salud No. 3,Cacha Chuyug,,3,832,2do. ORDEN,,,PS,,,,"-1.7274198,-78.7242733",-1.7274198,-78.7242733,753184,9808916,,,,,843,,20,40,JUNTO A LA PLAZA CENTRAL,
621-010601456,621-010601456,Item,10601456,CHIMBORAZO,RIOBAMBA,CUBIJIES,06D01,1,Centro de Salud No. 3,Cubijíes,,3,2489,1er. ORDEN,,,PS,,,,"-1.6452192,-78.5872813",-1.6452192,-78.5872813,768445,9817991,,,,,2522,,6,10,ALEDA­O A LA JUNTA ADMINISTRADORA DE AGUA POTABLE Y ALCANTARILLADO,
622-010601457,622-010601457,Item,10601457,CHIMBORAZO,RIOBAMBA,FLORES,06D01,1,Centro de Salud No. 3,Guantul Grande Central,,3,,2do. ORDEN,,,PS,,,,"-1.8396305,-78.6591180",-1.8396305,-78.659118,760421,9796494,,,GUANTUL CENTRAL GRANDE,,535,,40,60,"GUANT+L CENTRAL GRANDE, JUNTO A LA ESCUELA",
623-010601458,623-010601458,Item,10601458,CHIMBORAZO,RIOBAMBA,FLORES,06D01,1,Centro de Salud No. 3,Gualalac,,3,,1er. ORDEN,,,PS,,,,"-1.7648724,-78.7021101",-1.7648724,-78.7021101,755646,9804770,,,,,535,,22,40,"GULALAC, A LADO DE LA CASA COMUNAL.",
624-010601459,624-010601459,Item,10601459,CHIMBORAZO,RIOBAMBA,PUNGALA,06D01,1,Centro de Salud No. 3,Puruhuay San Gerardo,,3,,1er. ORDEN,,,PS,,,,"-1.8549231,-78.5903550",-1.8549231,-78.590355,768073,9794792,,,,,458,,20,30,PURUHUAY SAN GERARDO DIAGONAL A LA CASA COMUNAL,
625-010601460,625-010601460,Item,10601460,CHIMBORAZO,RIOBAMBA,LICTO,06D01,1,Centro de Salud No. 3,Santa Ana de Guagñag,,3,1261,1er. ORDEN,,,PS,,,,"-1.7745088,-78.6167551",-1.7745088,-78.6167551,765146,9803692,,,SANTA ANA DE GUAGNAG,,1278,,10,20,SANTA ANA DE GUAG­AG JUNTO A LA ESCUELA,
626-010601461,626-010601461,Item,10601461,CHIMBORAZO,RIOBAMBA,PUNIN,06D01,1,Centro de Salud No. 3,Bashalan,,3,,1er. ORDEN,,,PS,,,,"-1.7384294,-78.6937248",-1.7384294,-78.6937248,756583,9807694,,,,,444,,30,40,"BASHALAN, JUNTO A LA ESCUELA",
627-010601462,627-010601462,Item,10601462,CHIMBORAZO,RIOBAMBA,PUNIN,06D01,1,Centro de Salud No. 3,Guaslan,,3,1609,1er. ORDEN,,,PS,,,,"-1.7379849,-78.6487275",-1.7379849,-78.6487275,761592,9807737,,,,,1631,,8,15,GUASLAN FRENTE A MAGAP,
628-010601463,628-010601463,Item,10601463,CHIMBORAZO,RIOBAMBA,PUNIN,06D01,1,Centro de Salud No. 3,Tzalaron,,3,1454,2do. ORDEN,,,PS,,,,"-1.7889480,-78.6895659",-1.788948,-78.6895659,757039,9802105,,,,,1473,,25,70,"TZALARON, VIA PRINCIPAL FRENTE A LA ESCUELA.",
