No.,Puesto Institucional,Grado jerárquico o escala al que pertenece el puesto,Remuneración mensual unificada,Remuneración unificada (anual),Décimo Tercera Remuneración,Décima Cuarta Remuneración,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
1329,SUPERVISOR DE CONSTRUCCIONES  ,5,"3,441.84","41,302.08","2,007.74",225.19,0,0,"2,232.93"
1330,ANALISTA DE TI  ,3,"1,530.00","18,360.00",895.69,225.19,38.25,0,"1,159.13"
1331,ANALISTA DE PUERTOS  ,3,"1,354.00","16,248.00",789.81,225.19,0,0,"1,015.00"
1332,TÉCNICO DE SEGURIDAD Y AMBIENTE ( E ) ,3,687,"8,244.00",400.75,225.19,0,"2,296.00","2,921.94"
1333,ANALISTA DE RECURSOS HUMANOS ( E ) ,3,620,"7,440.00",361.69,225.19,0,"2,765.00","3,351.88"
1334,SUPERINTENDENTE DE CONSTRUCCIONES ( E ) ,6,"3,363.00","40,356.00","1,961.75",225.19,0,"6,986.00","9,172.94"
1335,OPERADOR DE VACUUM  ,2,906.3,"10,875.60",540.49,225.19,141.52,0,907.2
1336,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1337,OPERADOR DE EQUIPO PESADO  ,3,"1,015.00","12,180.00",592.06,225.19,0,0,817.25
1338,ASISTENTE ADMINISTRATIVA  ,2,"1,011.75","12,141.00",590.17,225.19,0,0,815.36
1339,ANALISTA DE CONTRATOS ( E ) ,3,"1,597.50","19,170.00","1,010.03",225.19,938.2,0,"2,173.42"
1340,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1341,COORDINADOR DE MOVIMIENTO DE PASIVOS  ,5,"2,850.00","34,200.00","1,662.50",225.19,0,0,"1,887.69"
1342,OPERADOR DE PLANTA DE GENERACIÓN PATIO  ,3,"1,015.00","12,180.00","1,012.72",225.19,"5,047.50",0,"6,285.41"
1343,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",466.8,225.19,29.85,0,721.84
1344,GERENTE DE ACTIVO ( E ) ,7,"4,967.00","59,604.00","2,897.44",225.19,0,"4,291.00","7,413.63"
1345,ANALISTA DE CONTROL DE ACTIVOS  ,3,"1,500.00","18,000.00","1,115.63",225.19,"2,887.50",0,"4,228.32"
1346,BODEGUERO  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
1347,TÉCNICO ELÉCTRICO  ,3,"1,015.00","12,180.00",592.06,225.19,0,0,817.25
1348,OPERADOR DE EQUIPO  ,3,"1,015.00","12,180.00",592.06,225.19,0,0,817.25
1349,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",848.21,225.19,840.71,0,"1,914.11"
1350,ASISTENTE DE OPERACIONES  ,2,916,"10,992.00",282.42,119.03,0,0,401.45
1351,INGENIERO DE OPERACIONES  ,5,"2,240.00","26,880.00","1,306.69",225.19,0,0,"1,531.88"
1352,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1353,SUPERINTENDENTE DE RCRS  ,6,"4,512.00","54,144.00","2,632.00",225.19,0,0,"2,857.19"
1354,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1355,TÉCNICO ELÉCTRICO (LÍNEAS)  ,3,"1,015.00","12,180.00",593.66,225.19,19.03,0,837.88
1356,OPERADOR DE EQUIPO PESADO ( E ) ,3,620,"7,440.00",361.69,225.19,0,"2,765.00","3,351.88"
1357,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",364.91,225.19,38.69,0,628.79
1358,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1359,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1360,TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ) ,3,"1,015.00","12,180.00",643.45,225.19,616.39,0,"1,485.03"
1361,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",677.67,225.19,523.14,0,"1,426.00"
1362,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",401.37,225.19,424.2,0,"1,050.76"
1363,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1364,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1365,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",362.81,225.19,13.56,0,601.56
1366,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,604.27,"1,191.15"
1367,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
1368,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",465.14,225.19,9.95,0,700.28
1369,OPERADOR DE EQUIPO PESADO ( E ) ,3,620,"7,440.00",361.69,225.19,0,"2,765.00","3,351.88"
1370,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1371,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",838.02,225.19,718.43,0,"1,781.64"
1372,TÉCNICO ELÉCTRICO ( E ) ,3,620,"7,440.00",362.97,225.19,15.5,"2,765.00","3,368.66"
1373,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",367.43,225.19,69.11,0,661.73
1374,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1375,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",683.89,225.19,597.88,0,"1,506.96"
1376,OPERADOR DE PLANTA DE GENERACIÓN  ( S ),3,"1,015.00","12,180.00",653.5,225.19,736.91,"8,911.00","10,526.60"
1377,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1378,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1379,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1380,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1381,ASISTENTE ADMINISTRATIVO CAMPO ( E ) ,2,794.85,"9,538.20",463.68,225.19,0,1.05,689.92
1382,INGENIERO DE OPERACIONES Y COMPLETACIÓN  ,5,"3,739.53","44,874.36","2,226.82",225.19,544.94,0,"2,996.95"
1383,SUPERINTENDENTE DE MANTENIMIENTO  ,6,"5,250.00","63,000.00","3,062.50",225.19,0,0,"3,287.69"
1384,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",657.9,225.19,789.77,0,"1,672.86"
1385,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,604.27,"1,191.15"
1386,COORDINADOR DE INGENIERÍA CIVIL ( E ) ,5,"2,953.00","35,436.00","1,821.01",225.19,"1,181.22",0,"3,227.42"
1387,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1388,OPERADOR DE ISLA ( E ) ,3,"1,087.00","13,044.00",697.97,225.19,766.58,0,"1,689.74"
1389,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",398.36,225.19,388.26,0,"1,011.81"
1390,AYUDANTE DE MANTENIMIENTO  ,1,900.57,"10,806.84",525.35,225.19,0,0,750.54
1391,SUPERVISOR DE REMEDIACIÓN  ,5,"2,470.00","29,640.00","1,440.81",225.19,0,0,"1,666.00"
1392,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1393,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1394,ANALISTA DE PROGRAMACIÓN DE COSTOS  ,3,"1,310.00","15,720.00",802.85,225.19,463.95,0,"1,491.99"
1395,AYUDANTE DE ALMACÉN  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
1396,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1397,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1398,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",402.3,225.19,487.61,"2,765.00","3,880.10"
1399,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",388.31,225.19,319.69,"2,765.00","3,698.19"
1400,INGENIERO DE CONTROL DE CALIDAD  ,5,"3,200.00","38,400.00","1,866.69",225.19,0,0,"2,091.88"
1401,TÉCNICO MECÁNICO DE OVERHAUL TALLER  ,3,"1,204.00","14,448.00",702.31,225.19,0,0,927.5
1402,CONSTRUCTOR COMUNITARIO  ,4,"2,000.00","24,000.00","1,166.69",225.19,0,0,"1,391.88"
1403,OPERADOR DE PLANTA  ,3,"1,350.00","16,200.00",876.45,225.19,"1,067.34",0,"2,168.98"
1404,OPERADOR DE EQUIPO ( E ) ,3,796,"9,552.00",464.31,225.19,0,"1,533.00","2,222.50"
1405,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",653.15,225.19,732.69,0,"1,611.03"
1406,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1407,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1408,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",853.55,225.19,904.65,0,"1,983.39"
1409,OPERADOR DE EQUIPO PESADO  ,3,"1,150.00","13,800.00",670.81,225.19,0,0,896
1410,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",370.29,225.19,103.2,0,698.68
1411,INGENIERO ELÉCTRICO  ,5,"2,953.00","35,436.00","1,880.47",225.19,"1,894.84",0,"4,000.50"
1412,INGENIERO DE CONFIABILIDAD  ,5,"4,481.00","53,772.00","2,613.94",225.19,0,0,"2,839.13"
1413,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",365.12,225.19,41.26,0,631.57
1414,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",843.11,225.19,779.57,0,"1,847.87"
1415,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",640.16,225.19,576.91,0,"1,442.26"
1416,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1417,AYUDANTE DE PRODUCCIÓN  ,1,715.45,"8,585.40",439.2,225.19,262.32,0,926.71
1418,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,604.27,"1,191.15"
1419,BODEGUERO DE COMBUSTIBLE ( E ) ,2,465,"5,580.00",271.25,225.19,0,"1,554.00","2,050.44"
1420,RELACIONADOR COMUNITARIO  ,4,"2,279.00","27,348.00","1,329.44",225.19,0,0,"1,554.63"
1421,TÉCNICO ELÉCTRICO (LÍNEAS)  ,3,"1,015.00","12,180.00",593.13,225.19,12.69,0,831.01
1422,SUPERVISOR DE SALUD OCUPACIONAL ( E ) ,5,"2,900.00","34,800.00","1,846.76",225.19,"1,860.83",70.67,"4,003.45"
1423,OPERADOR DE PLANTA ( E ) ,3,"1,087.00","13,044.00",691.17,225.19,685.07,0,"1,601.43"
1424,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1425,TÉCNICO ELÉCTRICO  ,3,"2,276.16","27,313.92","1,343.96",225.19,194.42,0,"1,763.57"
1426,INGENIERO DE SOPORTE EN PERFORACIÓN  ,4,"1,500.00","18,000.00","1,043.88",225.19,"2,026.56","3,861.00","7,156.63"
1427,MÉDICO OCUPACIONAL  ,4,"2,343.00","28,116.00","1,438.34",225.19,859.1,0,"2,522.63"
1428,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",840.58,225.19,749,0,"1,814.77"
1429,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
1430,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1431,OPERADOR DE ISLA ( E ) ,3,"1,087.00","13,044.00",672.49,225.19,460.86,0,"1,358.54"
1432,TÉCNICO ELÉCTRICO DE AIRE ACONDICIONADO  ,3,"1,015.00","12,180.00",593.65,225.19,19.03,0,837.87
1433,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1434,MENSAJERO  ,1,"1,055.23","12,662.76",615.58,225.19,0,0,840.77
1435,CONDUCTOR ADMINISTRATIVO  ,1,794,"9,528.00",555.13,225.19,"1,103.32",0,"1,883.64"
1436,ASISTENTE ADMINISTRATIVA  ,2,887,"10,644.00",517.44,225.19,0,0,742.63
1437,INGENIERO DE SOPORTE DE CONFIABILIDAD  ( S ),4,"1,150.00","13,800.00",691.16,225.19,244.15,"2,491.67","3,652.17"
1438,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1439,INGENIERO DE PLANIFICACIÓN Y CONTROL DE PROYECTOS  ,5,"2,953.00","35,436.00",951.51,124.39,0,0,"1,075.90"
1440,SUPERVISOR DE INSTRUMENTACIÓN  ,5,"2,880.00","34,560.00","1,681.47",225.19,17.7,0,"1,924.36"
1441,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1442,AUXILIAR DE SERVICIOS  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
1443,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1444,TÉCNICO MECÁNICO  ,3,"1,015.00","12,180.00",160.7,61.12,0,0,221.82
1445,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",687.01,225.19,635.24,0,"1,547.44"
1446,SUPERVISOR DE PROYECTOS  ,5,"3,201.00","38,412.00","2,380.75",225.19,"6,161.94",0,"8,767.88"
1447,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1448,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1449,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",364.26,225.19,31,0,620.45
1450,TÉCNICO AGROPECUARIO  ,4,"2,183.00","26,196.00","1,273.44",225.19,0,0,"1,498.63"
1451,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1452,COORDINADOR PROYECTO SIL  ,5,"2,215.00","26,580.00",547.59,95.43,0,0,643.02
1453,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1454,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1455,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
1456,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1457,AYUDANTE DE ALMACÉN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1458,AYUDANTE DE MANTENIMIENTO  ,1,885,"10,620.00",530.35,225.19,169.23,0,924.77
1459,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1460,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1461,AYUDANTE DE ALMACÉN (CL)  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
1462,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",643.12,225.19,108.71,0,977.02
1463,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",689.1,225.19,660.15,0,"1,574.44"
1464,TÉCNICO INSTRUMENTISTA  ,3,"1,015.00","12,180.00",149.43,56.83,0,0,206.26
1465,OPERADOR DE ISLA ( E ) ,3,620,"7,440.00",399.45,225.19,453.53,"2,765.00","3,843.17"
1466,RELACIONADOR COMUNITARIO  ,4,"2,192.00","26,304.00","1,278.69",225.19,0,0,"1,503.88"
1467,INGENIERO DE OPERACIONES Y COMPLETACIÓN  ,5,"2,670.00","32,040.00","1,593.63",225.19,433.6,0,"2,252.42"
1468,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",665.39,225.19,879.64,0,"1,770.22"
1469,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",465.9,225.19,18.98,0,710.07
1470,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",366.03,225.19,0,0,591.22
1471,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",394.07,225.19,336.63,0,955.89
1472,ASISTENTE DE LEVANTAMIENTO ARTIFICIAL  ,2,"1,334.00","16,008.00",778.19,225.19,0,0,"1,003.38"
1473,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",364.5,225.19,33.9,0,623.59
1474,TÉCNICO MECÁNICO  ,3,"1,204.00","14,448.00",703.57,225.19,15.05,0,943.81
1475,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1476,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",403.16,225.19,445.78,0,"1,074.13"
1477,ASISTENTE ADMINISTRATIVO ( E ) ,2,620,"7,440.00",361.69,225.19,0,469,"1,055.88"
1478,ADMINISTRADOR DE CAMPO ( E ) ,4,601,"7,212.00",350.56,225.19,0,"6,286.00","6,861.75"
1479,AYUDANTE DE MANTENIMIENTO  ,1,885,"10,620.00",517.17,225.19,11.06,0,753.42
1480,INGENIERO ELÉCTRICO  ,5,"3,000.00","36,000.00","1,758.33",225.19,100,0,"2,083.52"
1481,BODEGUERO  ( S ),2,620,"7,440.00",361.69,225.19,0,"2,072.00","2,658.88"
1482,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1483,SUPERVISOR DE REFINERÍA  ,5,"3,360.00","40,320.00","1,960.00",225.19,0,0,"2,185.19"
1484,BODEGUERO ( E ) ,2,794.85,"9,538.20",463.68,225.19,0,8.05,696.92
1485,TÉCNICO ELÉCTRICO (PLANTA DE GENERACIÓN)  ,3,"1,703.00","20,436.00","1,127.07",225.19,"1,603.66",0,"2,955.92"
1486,TÉCNICO DE SEGURIDAD Y AMBIENTE  ,3,"1,334.00","16,008.00",778.19,225.19,0,0,"1,003.38"
1487,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1488,COORDINADOR DE AUDITORÍA INTERNA  ,5,"2,880.00","34,560.00","1,680.00",225.19,0,367.8,"2,272.99"
1489,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1490,INGENIERO DE RIESGOS  ,5,"3,360.00","40,320.00","1,960.00",225.19,0,0,"2,185.19"
1491,TÉCNICO DE SEGURIDAD Y AMBIENTE ( E ) ,3,687,"8,244.00",400.75,225.19,0,"2,296.00","2,921.94"
1492,TÉCNICO DE SEGURIDAD Y AMBIENTE ( E ) ,3,687,"8,244.00",400.75,225.19,0,"2,296.00","2,921.94"
1493,RELACIONADOR COMUNITARIO  ,4,"2,200.00","26,400.00","1,283.31",225.19,0,0,"1,508.50"
1494,TÉCNICO DE INTEGRIDAD MECÁNICA  ,3,"1,015.00","12,180.00",592.06,225.19,0,0,817.25
1495,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1496,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",365.45,225.19,45.21,0,635.85
1497,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1498,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1499,ANALISTA PROMOTOR LABORAL  ,3,950,"11,400.00",554.19,225.19,0,0,779.38
1500,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1501,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",673.51,225.19,473.31,0,"1,372.01"
1502,SUPERINTENDENTE DE OPERACIONES  ,6,"4,967.00","59,604.00","2,897.44",225.19,0,0,"3,122.63"
1503,TÉCNICO ELÉCTRICO (LÍNEAS) ( E ) ,3,620,"7,440.00",361.68,225.19,0,"2,765.00","3,351.87"
1504,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1505,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1506,ESPECIALISTA DE PROGRAMACIÓN Y EJECUCIÓN DE COSTOS  ,4,"2,593.00","31,116.00","1,662.94",225.19,"1,804.29",0,"3,692.42"
1507,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",631.43,225.19,472.24,0,"1,328.86"
1508,ASISTENTE ADMINISTRATIVA  ,2,"1,011.75","12,141.00",590.17,225.19,0,0,815.36
1509,AYUDANTE DE PRODUCCIÓN  ,1,845.61,"10,147.32",559.34,225.19,792.75,0,"1,577.28"
1510,CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ) ,2,796,"9,552.00",467.9,225.19,43.04,0,736.13
1511,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1512,SUPERVISOR DE SEGURIDAD Y AMBIENTE  ,5,"2,599.00","31,188.00","1,520.55",225.19,53.88,0,"1,799.62"
1513,TRIPULANTE DE CABINA  ,3,"1,597.00","19,164.00",931.56,225.19,0,0,"1,156.75"
1514,ESPECIALISTA DE SERVICIOS CAMPO  ,4,"1,999.00","23,988.00","1,216.04",225.19,599.68,"1,229.60","3,270.51"
1515,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",642.5,225.19,604.76,0,"1,472.45"
1516,TÉCNICO MECÁNICO PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",170.75,64.34,19.03,0,254.12
1517,COORDINADOR DE CONTROL DE CALIDAD  ,5,"3,363.00","40,356.00","1,340.53",147.98,616.55,0,"2,105.06"
1518,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",468.05,225.19,44.78,0,738.02
1519,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1520,ANALISTA DE CONTROL DE COSTOS  ,3,"1,300.00","15,600.00",758.31,225.19,0,0,983.5
1521,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",832.94,225.19,657.3,0,"1,715.43"
1522,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",838.03,225.19,718.43,0,"1,781.65"
1523,TÉCNICO AUTOMOTRIZ ( E ) ,3,465,"5,580.00",271.25,225.19,0,"3,850.00","4,346.44"
1524,ASISTENTE DE SEGURIDAD Y AMBIENTE  ,2,"1,100.00","13,200.00",641.69,225.19,0,"1,854.40","2,721.28"
1525,RESERVORISTA  ,5,"2,953.00","35,436.00","1,722.56",225.19,0,0,"1,947.75"
1526,TÉCNICO DE SEGURIDAD Y AMBIENTE ( E ) ,3,796,"9,552.00",464.31,225.19,0,"1,533.00","2,222.50"
1527,OPERADOR DE PLANTA ( E ) ,3,"1,087.00","13,044.00",687.02,225.19,635.24,0,"1,547.45"
1528,ANALISTA AMBIENTAL DE PREVENCIÓN Y CONTROL AMBIENTAL  ,3,"1,354.00","16,248.00",127.88,32.17,0,0,160.05
1529,AUXILIAR DE SERVICIOS  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
1530,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1531,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1532,JEFE ZONAL DE CONSTRUCCIONES (ZO-CP-YUR-PAA-SACHA) ( E ) ,6,"2,604.00","31,248.00","1,602.18",225.19,998.21,"3,333.40","6,158.98"
1533,INSPECTOR DE CONSTRUCCIONES  ,3,"3,062.00","36,744.00","1,786.19",225.19,0,0,"2,011.38"
1534,SUPERVISOR DE PLANTA DE GENERACIÓN ( E ) ,5,"2,257.00","27,084.00","1,316.56",225.19,0,"2,394.00","3,935.75"
1535,ANALISTA DE AUDITORÍA INTERNA  ,3,"1,500.00","18,000.00",875,225.19,0,0,"1,100.19"
1536,COORDINADOR DE MATERIALES ( E ) ,5,"1,088.00","13,056.00",634.69,225.19,0,"7,889.00","8,748.88"
1537,ANALISTA DE ORIENTACION LABORAL  ,3,916,"10,992.00",534.31,225.19,0,0,759.5
1538,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1539,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1540,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",845.68,225.19,810.13,0,"1,881.00"
1541,ANALISTA DE CONTROL DE ACTIVOS  ,3,"1,310.00","15,720.00",944.3,225.19,"2,161.49",0,"3,330.98"
1542,COORDINADOR GENERAL DE SEGURIDAD Y AMBIENTE Z E/CEN/LIT/ESTR  ,6,"4,800.00","57,600.00","2,800.00",225.19,0,0,"3,025.19"
1543,INGENIERO DE INTEGRIDAD MECÁNICA  ,5,"2,500.00","30,000.00","1,458.31",225.19,0,0,"1,683.50"
1544,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1545,OPERADOR DE ISLA ( E ) ,3,"1,015.00","12,180.00",633.29,225.19,494.69,0,"1,353.17"
1546,INGENIERO DE CONTROL DE CALIDAD  ,5,"3,420.00","41,040.00","1,995.00",225.19,0,0,"2,220.19"
1547,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1548,COORDINADOR DE GENERACIÓN ELÉCTRICA ( E ) ,5,"1,015.00","12,180.00",607.57,225.19,186.08,"8,400.00","9,418.84"
1549,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",366.36,225.19,56.13,0,647.68
1550,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1551,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1552,ANALISTA DE CONTABILIDAD  ,3,"1,310.00","15,720.00",764.19,225.19,0,0,989.38
1553,MENSAJERO  ,1,795,"9,540.00",463.75,225.19,0,0,688.94
1554,OPERADOR DE REFINERÍA ( E ) ,3,"1,087.00","13,044.00",667.28,225.19,398.58,"1,869.00","3,160.05"
1555,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
1556,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1557,OPERADOR DE ISLA ( E ) ,3,620,"7,440.00",400.15,225.19,461.67,"2,765.00","3,852.01"
1558,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1559,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1560,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
1561,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",364.36,225.19,32.21,0,621.76
1562,INGENIERO DE OPERACIONES ( E ) ,5,"1,999.00","23,988.00","1,202.85",225.19,441.44,"1,512.00","3,381.48"
1563,COORDINADOR DE LOGÍSTICA TERRESTRE ( E ) ,5,885,"10,620.00",516.25,225.19,0,"9,310.00","10,051.44"
1564,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
1565,ANALISTA DE CONTROL DE ACTIVOS (ORACLE)  ,3,"1,310.00","15,720.00",775.33,225.19,133.73,0,"1,134.25"
1566,OPERADOR DE ISLA ( E ) ,3,620,"7,440.00",361.68,225.19,0,526.67,"1,113.54"
1567,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
